hostname,RX Gain A,RX Gain B,Timestamp,Circular Mean (degrees),Circular Std Dev (degrees)
T08,38,38,2025-04-16 15:07:59,-1.361621940366603,2.27063751784363
T08,38,38,2025-04-16 15:08:18,-3.0615937165374714,0.02382683199407012
T08,38,38,2025-04-16 15:08:37,-3.029143935487628,0.012915183990098887
T08,38,38,2025-04-16 15:08:56,-2.980597547480543,0.05027354040200101
T08,38,38,2025-04-16 15:09:15,-3.09642089303579,0.04354764639840479
T08,38,38,2025-04-16 15:09:34,-3.0429945726357115,0.012104630869795834
T08,38,38,2025-04-16 15:09:53,-1.7964045980392842,2.2879841037439044
T08,38,38,2025-04-16 15:10:12,-3.0282253621744375,0.012541873244685003
T08,38,38,2025-04-16 15:10:31,-3.0554784931862184,0.02081640855697261
T08,38,38,2025-04-16 15:10:50,-2.9656275258289986,0.058360863945845304
T08,38,38,2025-04-16 15:11:09,-3.057698982268839,0.02290335608199847
T08,38,38,2025-04-16 15:11:28,-2.9865942783258213,0.04449756023372905
T08,38,38,2025-04-16 15:11:47,-3.059406526206798,0.02037019540947823
T08,38,38,2025-04-16 15:12:06,-3.027832179046799,0.017174942135113794
T08,38,38,2025-04-16 15:12:25,-3.015552044663624,0.022438944501050863
T08,38,38,2025-04-16 15:12:44,-3.0631520159030616,0.014992705485913768
T08,38,38,2025-04-16 15:13:03,-3.0894614264409523,0.04067675700749587
T08,38,38,2025-04-16 15:13:22,-3.0651395707520925,0.01723207124788989
T08,38,38,2025-04-16 15:13:41,-3.0588511977167636,0.04646507312434626
T08,38,38,2025-04-16 15:14:00,-3.0571608987138457,0.01877295618654901
T08,38,38,2025-04-16 15:14:19,-3.0870186368423127,0.039300505004311016
T08,38,38,2025-04-16 15:14:38,-3.076038030122163,0.03408979532782133
T08,38,38,2025-04-16 15:14:57,-3.081389091651381,0.03477830750520884
T08,38,38,2025-04-16 15:15:16,-3.0258819615964985,0.01379598531684477
T08,38,38,2025-04-16 15:15:35,-3.0605735079179053,0.022075984339953423
T08,38,38,2025-04-16 15:15:54,-3.0359889156993796,0.04741891485029433
T08,38,38,2025-04-16 15:16:13,-3.0196769930310086,0.026068701486544027
T08,38,38,2025-04-16 15:16:32,-3.075179760020367,0.024794591136866762
T08,38,38,2025-04-16 15:16:51,-3.0516075156487577,0.010460546182270014
T08,38,38,2025-04-16 15:17:10,-2.978123154304866,0.051404082334114864
